date cases
2021-11-10 90
2021-11-11 50
2021-11-12 73
2021-11-13 50
2021-11-14 42
2021-11-15 79
2021-11-16 80
2021-11-17 104
2021-11-18 88
2021-11-19 100
2021-11-20 44
2021-11-21 43
2021-11-22 82
2021-11-23 93
2021-11-24 86
2021-11-25 48
2021-11-26 40
2021-11-27 39
2021-11-28 27
2021-11-29 83
2021-11-30 84
2021-12-01 76
2021-12-02 111
2021-12-03 85
2021-12-04 45
2021-12-05 41
2021-12-06 95
2021-12-07 67
2021-12-08 80
2021-12-09 78
2021-12-10 74
2021-12-11 46
2021-12-12 48
2021-12-13 97
2021-12-14 74
2021-12-15 79
2021-12-16 90
2021-12-17 105
2021-12-18 52
2021-12-19 57
2021-12-20 96
2021-12-21 87
2021-12-22 68
2021-12-23 77
2021-12-24 47
2021-12-25 30
2021-12-26 37
2021-12-27 70
2021-12-28 67
2021-12-29 82
2021-12-30 62
2021-12-31 47
2022-01-01 49
2022-01-02 53
2022-01-03 76
2022-01-04 75
2022-01-05 82
2022-01-06 98
2022-01-07 70
2022-01-08 36
2022-01-09 57
2022-01-10 96
2022-01-11 79
2022-01-12 81
2022-01-13 77
2022-01-14 74
2022-01-15 50
2022-01-16 41
2022-01-17 39
2022-01-18 78
2022-01-19 71
2022-01-20 72
2022-01-21 83
2022-01-22 55
2022-01-23 40
2022-01-24 98
2022-01-25 56
2022-01-26 81
2022-01-27 88
2022-01-28 66
2022-01-29 37
2022-01-30 45
2022-01-31 78
2022-02-01 96
2022-02-02 83
2022-02-03 69
2022-02-04 94
2022-02-05 43
2022-02-06 32
2022-02-07 90
2022-02-08 93
2022-02-09 78
2022-02-10 92
2022-02-11 83
2022-02-12 45
2022-02-13 50
2022-02-14 73
2022-02-15 78
2022-02-16 65
2022-02-17 110
2022-02-18 107
2022-02-19 49
2022-02-20 52
2022-02-21 64
2022-02-22 96
2022-02-23 97
2022-02-24 93
2022-02-25 64
2022-02-26 52
2022-02-27 41
2022-02-28 92
2022-03-01 72
2022-03-02 71
2022-03-03 100
2022-03-04 73
2022-03-05 40
2022-03-06 56
2022-03-07 75
2022-03-08 95
2022-03-09 90
2022-03-10 92
2022-03-11 90
2022-03-12 59
2022-03-13 41
2022-03-14 96
2022-03-15 75
2022-03-16 105
2022-03-17 76
2022-03-18 61
2022-03-19 63
2022-03-20 55
2022-03-21 93
2022-03-22 83
2022-03-23 97
2022-03-24 97
2022-03-25 101
2022-03-26 58
2022-03-27 53
2022-03-28 93
2022-03-29 120
2022-03-30 95
2022-03-31 88
2022-04-01 94
2022-04-02 47
2022-04-03 45
2022-04-04 72
2022-04-05 97
2022-04-06 104
2022-04-07 129
2022-04-08 89
2022-04-09 67
2022-04-10 48
2022-04-11 81
2022-04-12 95
2022-04-13 91
2022-04-14 98
2022-04-15 63
2022-04-16 63
2022-04-17 43
2022-04-18 101
2022-04-19 88
2022-04-20 89
2022-04-21 87
2022-04-22 79
2022-04-23 47
2022-04-24 63
2022-04-25 96
2022-04-26 89
2022-04-27 88
2022-04-28 89
2022-04-29 115
2022-04-30 53
2022-05-01 53
2022-05-02 106
2022-05-03 94
2022-05-04 86
2022-05-05 106
2022-05-06 99
2022-05-07 52
2022-05-08 60
2022-05-09 84
2022-05-10 74
2022-05-11 82
2022-05-12 108
2022-05-13 85
2022-05-14 48
2022-05-15 43
2022-05-16 68
2022-05-17 97
2022-05-18 101
2022-05-19 110
2022-05-20 117
2022-05-21 61
2022-05-22 76
2022-05-23 102
2022-05-24 100
2022-05-25 86
2022-05-26 116
2022-05-27 103
2022-05-28 51
2022-05-29 54
2022-05-30 44
2022-05-31 90
2022-06-01 90
2022-06-02 95
2022-06-03 120
2022-06-04 68
2022-06-05 56
2022-06-06 99
2022-06-07 90
2022-06-08 102
2022-06-09 121
2022-06-10 143
2022-06-11 69
2022-06-12 71
2022-06-13 92
2022-06-14 99
2022-06-15 83
2022-06-16 91
2022-06-17 89
2022-06-18 74
2022-06-19 76
2022-06-20 91
2022-06-21 88
2022-06-22 97
2022-06-23 129
2022-06-24 96
2022-06-25 51
2022-06-26 52
2022-06-27 93
2022-06-28 78
2022-06-29 88
2022-06-30 116
2022-07-01 107
2022-07-02 75
2022-07-03 69
2022-07-04 69
2022-07-05 110
2022-07-06 108
2022-07-07 96
2022-07-08 117
2022-07-09 65
2022-07-10 53
2022-07-11 90
2022-07-12 81
2022-07-13 97
2022-07-14 80
2022-07-15 89
2022-07-16 53
2022-07-17 66
2022-07-18 87
2022-07-19 92
2022-07-20 102
2022-07-21 102
2022-07-22 69
2022-07-23 47
2022-07-24 38
2022-07-25 55
2022-07-26 83
2022-07-27 105
2022-07-28 93
2022-07-29 87
2022-07-30 47
2022-07-31 54
2022-08-01 95
2022-08-02 78
2022-08-03 92
2022-08-04 85
2022-08-05 82
2022-08-06 69
2022-08-07 66
2022-08-08 75
2022-08-09 99
2022-08-10 91
2022-08-11 90
2022-08-12 81
2022-08-13 64
2022-08-14 72
2022-08-15 123
2022-08-16 94
2022-08-17 78
2022-08-18 98
2022-08-19 85
2022-08-20 70
2022-08-21 49
2022-08-22 107
2022-08-23 79
2022-08-24 96
2022-08-25 97
2022-08-26 84
2022-08-27 56
2022-08-28 56
2022-08-29 100
2022-08-30 102
2022-08-31 94
2022-09-01 113
2022-09-02 82
2022-09-03 52
2022-09-04 45
2022-09-05 38
2022-09-06 121
2022-09-07 93
2022-09-08 91
2022-09-09 100
2022-09-10 58
2022-09-11 38
2022-09-12 99
2022-09-13 83
2022-09-14 97
2022-09-15 94
2022-09-16 100
2022-09-17 43
2022-09-18 38
2022-09-19 81
2022-09-20 91
2022-09-21 75
2022-09-22 118
2022-09-23 81
2022-09-24 69
2022-09-25 59
2022-09-26 74
2022-09-27 52
2022-09-28 29
2022-09-29 24
2022-09-30 58
2022-10-01 46
2022-10-02 47
2022-10-03 98
2022-10-04 104
2022-10-05 56
2022-10-06 105
2022-10-07 97
2022-10-08 76
2022-10-09 77
2022-10-10 101
2022-10-11 102
2022-10-12 91
2022-10-13 115
2022-10-14 92
2022-10-15 46
2022-10-16 51
2022-10-17 93
2022-10-18 89
2022-10-19 73
2022-10-20 70
2022-10-21 75
2022-10-22 46
2022-10-23 56
2022-10-24 105
2022-10-25 89
2022-10-26 110
2022-10-27 108
2022-10-28 90
2022-10-29 46
2022-10-30 46
2022-10-31 85
2022-11-01 100
2022-11-02 76
2022-11-03 97
2022-11-04 103
2022-11-05 63
2022-11-06 45
2022-11-07 92
2022-11-08 81
2022-11-09 93
2022-11-10 50
2022-11-11 68
2022-11-12 42
2022-11-13 52
2022-11-14 95
2022-11-15 82
2022-11-16 118
2022-11-17 94
2022-11-18 106
2022-11-19 78
2022-11-20 63
2022-11-21 96
2022-11-22 86
2022-11-23 66
2022-11-24 57
2022-11-25 47
2022-11-26 41
2022-11-27 40
2022-11-28 112
2022-11-29 82
2022-11-30 101
2022-12-01 94
2022-12-02 94
2022-12-03 53
2022-12-04 60
2022-12-05 123
2022-12-06 104
2022-12-07 90
2022-12-08 82
2022-12-09 87
2022-12-10 56
2022-12-11 41
2022-12-12 80
2022-12-13 82
2022-12-14 91
2022-12-15 97
2022-12-16 97
2022-12-17 57
2022-12-18 55
2022-12-19 109
2022-12-20 89
2022-12-21 113
2022-12-22 99
2022-12-23 64
2022-12-24 32
2022-12-25 42
2022-12-26 35
2022-12-27 86
2022-12-28 95
2022-12-29 80
2022-12-30 97
2022-12-31 65
2023-01-01 48
2023-01-02 42
2023-01-03 74
2023-01-04 76
2023-01-05 143
2023-01-06 102
2023-01-07 63
2023-01-08 58
2023-01-09 75
2023-01-10 75
2023-01-11 83
2023-01-12 85
2023-01-13 91
2023-01-14 73
2023-01-15 42
2023-01-16 54
2023-01-17 83
2023-01-18 101
2023-01-19 108
2023-01-20 106
2023-01-21 64
2023-01-22 45
2023-01-23 91
2023-01-24 94
2023-01-25 98
2023-01-26 81
2023-01-27 96
2023-01-28 65
2023-01-29 58
2023-01-30 125
2023-01-31 92
2023-02-01 92
2023-02-02 108
2023-02-03 125
2023-02-04 60
2023-02-05 45
2023-02-06 105
2023-02-07 125
2023-02-08 110
2023-02-09 101
2023-02-10 102
2023-02-11 68
2023-02-12 66
2023-02-13 100
2023-02-14 87
2023-02-15 120
2023-02-16 96
2023-02-17 91
2023-02-18 46
2023-02-19 44
2023-02-20 98
2023-02-21 103
2023-02-22 87
2023-02-23 87
2023-02-24 115
2023-02-25 64
2023-02-26 59
2023-02-27 113
2023-02-28 109
2023-03-01 93
2023-03-02 135
2023-03-03 107
2023-03-04 46
2023-03-05 50
2023-03-06 68
2023-03-07 67
2023-03-08 99
2023-03-09 111
2023-03-10 94
2023-03-11 77
2023-03-12 56
2023-03-13 88
2023-03-14 83
2023-03-15 96
2023-03-16 104
2023-03-17 87
2023-03-18 81
2023-03-19 79
2023-03-20 75
2023-03-21 73
2023-03-22 111
2023-03-23 80
2023-03-24 108
2023-03-25 63
2023-03-26 56
2023-03-27 68
2023-03-28 89
2023-03-29 107
2023-03-30 120
2023-03-31 118
2023-04-01 46
2023-04-02 46
2023-04-03 136
2023-04-04 129
2023-04-05 64
2023-04-06 142
2023-04-07 55
2023-04-08 50
2023-04-09 82
2023-04-10 136
2023-04-11 126
2023-04-12 91
2023-04-13 117
2023-04-14 76
2023-04-15 55
2023-04-16 52
2023-04-17 108
2023-04-18 93
2023-04-19 116
2023-04-20 81
2023-04-21 87
2023-04-22 52
2023-04-23 66
2023-04-24 92
2023-04-25 103
2023-04-26 84
2023-04-27 118
2023-04-28 94
2023-04-29 67
2023-04-30 53
2023-05-01 105
2023-05-02 83
2023-05-03 70
2023-05-04 106
2023-05-05 93
2023-05-06 89
2023-05-07 49
2023-05-08 114
2023-05-09 102
2023-05-10 91
2023-05-11 97
2023-05-12 124
2023-05-13 65
2023-05-14 49
2023-05-15 83
2023-05-16 85
2023-05-17 115
2023-05-18 120
2023-05-19 93
2023-05-20 64
2023-05-21 66
2023-05-22 120
2023-05-23 95
2023-05-24 126
2023-05-25 121
2023-05-26 103
2023-05-27 60
2023-05-28 72
2023-05-29 45
2023-05-30 120
2023-05-31 87
2023-06-01 114
2023-06-02 91
2023-06-03 52
2023-06-04 59
2023-06-05 92
2023-06-06 95
2023-06-07 119
2023-06-08 104
2023-06-09 91
2023-06-10 60
2023-06-11 75
2023-06-12 89
2023-06-13 94
2023-06-14 98
2023-06-15 118
2023-06-16 104
2023-06-17 30
2023-06-18 113
2023-06-19 82
2023-06-20 107
2023-06-21 104
2023-06-22 105
2023-06-23 118
2023-06-24 70
2023-06-25 56
2023-06-26 90
2023-06-27 91
2023-06-28 111
2023-06-29 88
2023-06-30 130
2023-07-01 72
2023-07-02 81
2023-07-03 99
2023-07-04 55
2023-07-05 93
2023-07-06 90
2023-07-07 86
2023-07-08 81
2023-07-09 50
2023-07-10 85
2023-07-11 106
2023-07-12 118
2023-07-13 92
2023-07-14 99
2023-07-15 54
2023-07-16 63
2023-07-17 100
2023-07-18 73
2023-07-19 78
2023-07-20 71
2023-07-21 97
2023-07-22 48
2023-07-23 46
2023-07-24 108
2023-07-25 93
2023-07-26 70
2023-07-27 79
2023-07-28 118
2023-07-29 50
2023-07-30 49
2023-07-31 110
2023-08-01 95
2023-08-02 75
2023-08-03 103
2023-08-04 94
2023-08-05 51
2023-08-06 60
